TableID,Variable name,Unit,Description,How measured,dataset
,Variable name,Unit,Description,How measured,cflux
,fluxID,,Unique ID for each flux,defined,cflux
,type,,Type of flux measurements,defined,cflux
,replicate,,Replicate measurement of same turf,defined,cflux
,PARavg,micromol/s/sqm,PAR value measured every 15 seconds during flux measurement and averaged,measured,cflux
,temp_airavg,Kelvin,Air temperature measured inside the flux chamber every 10 seconds and averaged,measured,cflux
,r.squared,,R squared of the linear relation between CO2 concentration and time,calculated,cflux
,p.value,,p value of the linear relation between CO2 concentration and time,calculated,cflux
,nobs,,Number of CO2 concentration measurements for each flux,measured,cflux
,flux,mmol/sqm/h,CO2 flux (postive when emitting to atmosphere negative when vegetation uptake),calculated,cflux
,adj.r.squared,,adjusted R squared of the linear relation between CO2 concentration and time,calculated,cflux
,turfID,,Unique ID of each turfs,defined,cflux
,campaign,,field measurement campaign,defined,"cflux, demography, community, biomass_removal, seedbank, seeds_per_capsule"
,comments,,additional information on the data,defined,cflux
,datetime,yyyy-mm-dd_hh:mm:ss,Date and time of sampling or observation,recorded,microclimate
,loggerID,,Unique ID for each microclimate loggers,defined,"microclimate, ndvi, demography, community, biomass_removal, seedbank_survival, flowering, seedling_survival_alpine"
,plotID,,Unique ID for each plot,defined,microclimate
,soil_temperature,°C,Soil temperature at 5 cm below ground,measured,microclimate
,ground_temperature,°C,Ground temperature,measured,microclimate
,soil_moisture,percentage,Soil moisture,measured,microclimate
,air_temperature,°C,Air temperature 15 cm above ground,measured,ndvi
,NDVI,,NDVI measurement for each plot,measured,"ndvi, demography, community, biomass_removal, seeds_per_capsule, seedling_survival_alpine ,seedling_survival_subalpine"
,date,yyyy-mm-dd,Date of sampling or observation,recorded,ndvi
,tomst_presence,,Presence of TMS microclimate logger in the plot when measuing,defined,"ndvi, demography, community, biomass_removal, flowering; seedling_survival_alpine, seedling_survival_subalpine"
,OTC,,Control (C) and Warmed via OTC (W),defined,ndvi
,date_comment,,Comments specifically about date issue,defined,"demography, community, biomass_removal, seedbank, seeds_per_capsule, flowering, seedling_survival_alpine, seedling_survival_subalpine"
,siteID,,"Unique site ID (3 letters, first letter capital)",defined,"demography, community, biomass_removal, flowering, seedling_survival_alpine, seedling_survival_subalpine"
,blockID,,"Unique ID of each block. A combination of the siteID (Gud, Lav, Skj or Ulv) and the number for the block (1-7) (Ex: Gud_1, Lav_7)",defined,"demography, community, biomass_removal, flowering"
,treatment,,"Treatments in the experiment (C = control, R = removal, E = transplants with extant traits, N = transplants with novel traits)",defined,"demography, community, biomass_removal, flowering"
,year,yyyy,Year of data collection,recorded,"demography, community, biomass_removal, flowering, seedling_survival_alpine"
,registrator,,Initials or full name of the registror,recorded,"demography, community, seedbank, seeds_per_capsule, flowering, seedling_survival_alpine, seedling_survival_subalpine"
,species,,"Species abbreviations, three leters of the genus and three leters of the species. Example: Sib_pro",defined,"demography, seedbank, seeds_per_capsule, seedling_survival_alpine,seedling_survival_subalpine"
,uniqueID,,Unique ID for each individual.,defined,"demography, seedling_survival_alpine, seedling_survival_subalpine"
,X,mm,X coordinates of the individual in the plot measured from the left side of the plot.,measured,"demography, seedling_survival_alpine, seedling_survival_subalpine"
,Y,mm,Y coordinates of the individual int he plot measured from the lower side of the plot,measured,"demography, biomass_allocation"
,genetID,,Unique ID for genetically similar species. Those we know are clones.,defined,demography
,mother_shoot,,Unique ID for when we know the mother of the individual (MS = mother shoot),defined,"demography, seeds_per_capsule"
,demographic_trait,,Name of trait measured,defined,"demography, seeds_per_capsule"
,demographic_value,mm or counts,"Length/width/height of leaves, leaf stalkes or stems. Or number of leaves/flowers/buds/capsules/aborted capsules/flower stems.",measured,biomass_removal
,functional_group,,"Functional group removed in the removal experiment: graminoid, forb, bryophyte, woody, fern, lichen, litter",defined,biomass_removal
,biomass_removed,g,Weighed dried biomass,measured,"community, seedling_survival_alpine"
,vegetation_cover,%,Cover of vascular plant ,recorded,"community, seedling_survival_alpine"
,bryophyte_cover,%,Cover of bryophytes,recorded,"community, seedling_survival_alpine"
,vegetation_height,mm,Height of vegetation,measured,"community, seedling_survival_alpine"
,bryophyte_depth,mm,Height of bryophytes,measured,community
,litter,%,Cover of litter,recorded,"community, seedling_survival_alpine"
,lichen,%,Cover of lichen,recorded,community
,fungus,%,Cover of fungus,recorded,community
,soil,%,Cover of soil,recorded,community
,logger,%,Cover of logger (microclimate logger in the plots) ,recorded,community
,rock,%,Cover of rock,recorded,community
,poo,%,Cover of poo,recorded,community
,cover,%,individuals species cover,recorded,"community, flowering"
,weather,,Oberservers impression of weather during analysis,recorded,"community, flowering"
,writer,,Scribe/writer/second observer during data collection,defined,seedbank
,warming,,"Wether the plot has an open top chamber or not. C = control, W = warming with open top chamber.",defined,seedbank
,date_in,yyyy-mm-dd,Date when seeds were burried to test for survival in the seed bank,recorded,seedbank
,date_out,yyyy-mm-dd,Date when seeds were taken out to test for survival in the seed bank,recorded,seedbank
,survival_in_seedbank,,Wether a seed survived in the seed bank or not.,recorded,seedbank
,comment_survival,,Comments about how we tested if the seeds were viable or not,recorded,seeds_per_capsule
,capsuleID,,unique ID of capsules ,defined,seeds_per_capsule
,number_of_seeds,counts,Number of seeds per capsule,recorded,biomass_allocation
